0.001021	{:process 0, :type :invoke, :f :read, :value nil}
0.00767	0.008693	{:process 0, :type :ok, :f :read, :value nil}
0.011315	{:process 0, :type :invoke, :f :read, :value nil}
0.003872	0.015189	{:process 0, :type :ok, :f :read, :value 063033108925286691699663559297525840451443964835914071458570224038093339945320842541806856800205004569456280284631031827427779491157012832981546662854718685555662683877385431208403094955620108366973801365687459978665337569326913393649309276164142875724756377608182224141080414604476844491353381705142540501183521407067114643915559705975284668921627531215509074244753381969771853818939602729146721071469556762243358438610847421748906863559993220274255439173258260868213303945984300053063510536642486018305023754789287750716370630433286798185573613599860429682646964745575142424073951913073237054720289013275674162373871226123796946847186874582932241563498779363159088795145531775153492469408933943912648193491106467913075869373764928069320642209112521207165433046044286242593604076109817580904711159775046507926836940890882455780880404057969663477658859126695783723140066025582470255167857525819345351175626963108627622376077103658865539145458530494843460372669765210436191967906581849097485351994139859145868538823944692349}
0.019551	{:process 0, :type :invoke, :f :read, :value nil}
0.002336	0.021889	{:process 0, :type :ok, :f :read, :value 385089446433322165390968231882430230306069591809540759572852025061291819779179225591470878382808937239238165209050317525355755558574617443973891824878533209766835297131440949223921796116214897536241605819044358620253174573536172532224420075847083492052405234508932376395879808149546706452924917156905495695621577250095409990827718489948620977914946686596580352310236018017901415293043813960191314136139831194633237720037248390023839734055418733627620566425427922016413956942304289345987741653964725022838080519465153929014402095819292103174230747232143803004585416948275808095748954256769339880796514196197881909524220154064333186515356136226181623850458803324995632446180700082387635635099489174418246248348707562045744705824287202048192992640865631222706344166392102591087083746979361906314963193545843771048955083195926634173748234501838623324753258131540115930502795579011407044857933245758701972749652012919394217533208399408695760283675526069932364395236315803041310062788602158589334967647242595603872954369347270686}
0.029147	{:process 0, :type :invoke, :f :read, :value nil}
0.002586	0.031735	{:process 0, :type :ok, :f :read, :value 677201943820313610172733048453622542857151282773982258564420904150535442580987477793571135125550503259428726665435902225759414486911054046814470960304072113571184582196979316324674293406775113584993682536478058779242919642220611991375914031008932146302524888997134847241341346850681865544355288963609954310997058354800457086074355552903994611447059095895604059706016308099156861080582064479542243006807832440741911118575749166478250953419683784997776461579138166171515683051663652498757780506114587055573951217688653324504437008705582077111871756209851494295297745944875184279199287346968487473187696304851961101835624494352660541282689897107402174735470857013251631531461324543936775753666081344510876109555868538215593193459102189799874351426459929568803015245247124689924561575441432035750394218696788356426080155550348397918799697625599198323100136986799789748612361392125635870468059257122103549770902668365303331256080210764851873231077728363400200241239917014647766561519079092038372465179535521379442349340563511767}
0.039525	{:process 0, :type :invoke, :f :read, :value nil}
0.002971	0.042502	{:process 0, :type :ok, :f :read, :value 286067288930883484090715406335853471119104204772171175935768276715057169600007316655169837754546043951932162015872418391088534368656761177590388729650979042470556332460441479243328628522982037862031275412368711775749267463341664991435881674972448364320666945434799479757256490459981169053596997034910837496733621967963414323029710725466231814930948489831443316508265800984507713551657711064936752454775125028395660334660054841017584298790522288243609936313444312733602876096030421516267701162535817226047651793046882554980156959871576263532058659004515750546525895621996303488398960655711585265759840400749590686871564812359034130202278357338135581984419524138178607454419222992290654708211229201956697532021262547917758093113430399264468814068072949869300845974003569540078075261260310304114736082047266365813232463415026400200526472001702047283626351213245490357777847242990475300423967438463132046863282441171136722495333879173971211686793137701140994283112600053131731144014120210860193365562176279505108730874052281547}
0.051348	{:process 0, :type :invoke, :f :read, :value nil}
0.001982	0.053333	{:process 0, :type :ok, :f :read, :value 098433087931177090601860687744943988506211530230200306697361778298049880135289201263142071360109023921137775897145479978026046240552988675355081830727649465389366875652180808983987843000730798577232762753763381087688863852921654123318886234363123101408991088710041031675121653965335127447218232537704437792281734278914846689965855598467887953590511097668774459920966856863124175477255052699512700515194626035873510235497568930083712176909509070094835702507726119559249399216545140612082876688565489511662438142125653051711787257329497932958280747352445736551205356260457297594221587250807157784310578409458092160098070715606139316378333333861060880171641476309267010646142259557565851998750796697674280735683539216528395664245233871844624907028702552010665108485882464974889979124346602334384082241738346233147603465819247647071167091824458330778279195070989117818922568511681438660197185297190002250014494537596517345097908029456779138502563314061772682587652241475245611045661940109679336782829564135452138532545622658426}
0.06014	{:process 0, :type :invoke, :f :read, :value nil}
0.001921	0.062063	{:process 0, :type :ok, :f :read, :value 506528382693209127175228488593766548478837180392031873611682059633690475495647840147410799996079358506167621327532495564676283431493229901263218667135792312976027349261587021089792273606914716662508879871970861200571184778534805882962171358498547885472237737418834042299251027027575098783746539155574710844547314015816300975981460932138502453057650480689277535548953734971587262423681520273038825428018166804346626979126621426268261088880237019729631403665482210310321644556620504644920581922165217394941535685251864034127565188038624787266703189783107853381214277677695495705693905793043484804791452193883344765236750199501190447776064691087732309611791800956646542123432325767729810192309293860292547790478242343554705726022041507497444480634181651146958173445494150708783303469795580410954495821913983533891970520581779418923234725178468857801180277111235578950480528303016126363387602159966934189911532166903431193520718321049952007534326671902464435387683679009873407294305553996646515994816913476295625390882468121810}
0.066374	{:process 0, :type :invoke, :f :read, :value nil}
0.002981	0.069357	{:process 0, :type :ok, :f :read, :value 249190406853411974526973170874910829061648211309971568177176767869965332173305202570689326092998996621058509041400489333954354365229354205339671621575090547983426353993628886950127838803893155902212884665270404489299770085787029207873312563203122301320900622545442903259591816346470680872348895085500770883439278369546090079598050348328891910766623242542401428552587386679656530884230472845690161899659536189387712072276747873154231184703931834154571175074381904023415900313920378505202750842544808528579163102952694869075529122976023959571766256854883535549946541856923122969744242505372266132439022654050926361641390516341784718994591783332618977920785855428337708076532793510405505200755888571478243425096248918439726206285324268730232878779732604227855507925828841231020993384828535286980462567892996995523128991719527593040729140731406018830903876627121115249313685287360352839413138469016967427055701958332205710589780396248065535740574914787767635865481587242836005608298064757533202570296699420982911739226972314761}
0.071131	{:process 0, :type :invoke, :f :read, :value nil}
0.004498	0.075631	{:process 0, :type :ok, :f :read, :value 249190406853411974526973170874910829061648211309971568177176767869965332173305202570689326092998996621058509041400489333954354365229354205339671621575090547983426353993628886950127838803893155902212884665270404489299770085787029207873312563203122301320900622545442903259591816346470680872348895085500770883439278369546090079598050348328891910766623242542401428552587386679656530884230472845690161899659536189387712072276747873154231184703931834154571175074381904023415900313920378505202750842544808528579163102952694869075529122976023959571766256854883535549946541856923122969744242505372266132439022654050926361641390516341784718994591783332618977920785855428337708076532793510405505200755888571478243425096248918439726206285324268730232878779732604227855507925828841231020993384828535286980462567892996995523128991719527593040729140731406018830903876627121115249313685287360352839413138469016967427055701958332205710589780396248065535740574914787767635865481587242836005608298064757533202570296699420982911739226972314761}
0.077705	{:process 0, :type :invoke, :f :read, :value nil}
