0.000416	{:process 3, :type :invoke, :f :write, :value 296314553689103252455169664809448272749207348683820656543025169118582424250229521507483905433544324786322446510873731043586952504073827262033122697901271886046765248976370702163973091499005991418405164137565873482742844453726566272907656163403977374719211880617120085613083372322793816215276188198759279836260459832653173911922710947822748793999354794085309671685599883874465303792312062022100881789269905437938181498692825105493439542217202041400461673305846301556789609925285424513063759382457227119324042687058554821972137962893045651831556503207394517525727223980095160920262192573425219132442761298582528039286540281196560836175923307300320195235365221226933656208948090201924582006348152629449255074205599169481016943315251387906336008224363566371604449709690345175997643112949232698868739764271092778300716849228107100178727026415267239923067170810847611335279915749653159089062066049182721632328403911149046254059969151436699539033147361188583492309645324497300816562972732371733697142581541725401691984333506878802}
0.031269	0.031686	{:process 3, :type :ok, :f :write, :value 296314553689103252455169664809448272749207348683820656543025169118582424250229521507483905433544324786322446510873731043586952504073827262033122697901271886046765248976370702163973091499005991418405164137565873482742844453726566272907656163403977374719211880617120085613083372322793816215276188198759279836260459832653173911922710947822748793999354794085309671685599883874465303792312062022100881789269905437938181498692825105493439542217202041400461673305846301556789609925285424513063759382457227119324042687058554821972137962893045651831556503207394517525727223980095160920262192573425219132442761298582528039286540281196560836175923307300320195235365221226933656208948090201924582006348152629449255074205599169481016943315251387906336008224363566371604449709690345175997643112949232698868739764271092778300716849228107100178727026415267239923067170810847611335279915749653159089062066049182721632328403911149046254059969151436699539033147361188583492309645324497300816562972732371733697142581541725401691984333506878802}
0.04447	{:process 3, :type :invoke, :f :write, :value 397051807198009460732453446850189816199828828777742199553340359450361275058157041262118564529684812139767592496514045014496554166371549218657430955676215883599348615656614689696373004784235189051516370930029658978559994413638901550756958823713790689152615427593578165177761030020135418150920279017524592898010035896801193312233118887069862887566159488912455768746754850069017854792815050747621498996112215020692175690776458799808422843565857266726995550659532694090347124040632424901166331510911176000407480935545663396660951068870930889094540208757425610719808811191290674815792654215409501392723044103785476741164904065116508012444014762556884274872504156177541945631086864284863124751379323649122220006744322656244603737013935177309975520907852214587408893321371460032024709140590440521875902250273678168283534500852932752179226703532660915587662088275784606509852218421202968488235724186036944387430752960008823615256071987316079256442643557011656455543376104041615072349352437072749098808423504311568493838555921841733}
0.014995	0.059467	{:process 3, :type :ok, :f :write, :value 397051807198009460732453446850189816199828828777742199553340359450361275058157041262118564529684812139767592496514045014496554166371549218657430955676215883599348615656614689696373004784235189051516370930029658978559994413638901550756958823713790689152615427593578165177761030020135418150920279017524592898010035896801193312233118887069862887566159488912455768746754850069017854792815050747621498996112215020692175690776458799808422843565857266726995550659532694090347124040632424901166331510911176000407480935545663396660951068870930889094540208757425610719808811191290674815792654215409501392723044103785476741164904065116508012444014762556884274872504156177541945631086864284863124751379323649122220006744322656244603737013935177309975520907852214587408893321371460032024709140590440521875902250273678168283534500852932752179226703532660915587662088275784606509852218421202968488235724186036944387430752960008823615256071987316079256442643557011656455543376104041615072349352437072749098808423504311568493838555921841733}
0.075082	{:process 3, :type :invoke, :f :write, :value 567679674031688810107558651370949918096411590381413399156285400313214058127387549078185826388549082507331279043140160864415499397569492649763190308604077516676542414978846475617477094776435219470069056613176835655222887500578774781544883766241776174135104171861116624992837136745478910548626848620211414337904741754809891497259493534097700176552934815276901942206825697635280693306023735042384176857532070042594396781498626233010863091397776107996045829772275353682734601433223027731608046773243738128461903208173355379167793268190959349870889137894801792228237522476365364589288881170392345290437365022692610611758088242063036984788957330392499397333730253073441538461513984835788174399896152407355627117510000117566645570723570032975628858862518393840124491697894578385181364494708912671751652201159688044685075188347542807237344523547117614444289053455278124679123034728362702809374991704483396891383331732014971460753313743534685218301505222380675917203758438951712982606844822535475050893781854062525121823086543048259}
0.021825	0.096908	{:process 3, :type :ok, :f :write, :value 567679674031688810107558651370949918096411590381413399156285400313214058127387549078185826388549082507331279043140160864415499397569492649763190308604077516676542414978846475617477094776435219470069056613176835655222887500578774781544883766241776174135104171861116624992837136745478910548626848620211414337904741754809891497259493534097700176552934815276901942206825697635280693306023735042384176857532070042594396781498626233010863091397776107996045829772275353682734601433223027731608046773243738128461903208173355379167793268190959349870889137894801792228237522476365364589288881170392345290437365022692610611758088242063036984788957330392499397333730253073441538461513984835788174399896152407355627117510000117566645570723570032975628858862518393840124491697894578385181364494708912671751652201159688044685075188347542807237344523547117614444289053455278124679123034728362702809374991704483396891383331732014971460753313743534685218301505222380675917203758438951712982606844822535475050893781854062525121823086543048259}
0.103233	{:process 3, :type :invoke, :f :write, :value 797379862643876093008845990982253001987473750572972988470680007407728667954212421819678848869501595553271692056439516602409561713468805986311956828680130206379645725416167252954935140160020984776449055792109812327543565756145999096798920002354000586354978689611480202305730151419246855714695745985436901947280124811384966662270916506900620663264514112790938239800492774752078640263534558371553713980588807872090543028077324696986264045744153120724721554925736472098792109742916389656050846405615684826090281832997822007669240901583102222535726528930896832822973213636001783436449730516818018551944746824389944019370971994750046410314944149762699608908493607260491197701670951012924763245182153484156525730833246634259769196534970624117412749322868946076749348322953895399223420436145930864928115507036170633888412007204896617389204831115605468780400082665603725238569221968756729027214776260785761883082077659554575964580771347445065263950105774262830019165809606142667670367906181384220701983528984973109009619079491594882}
0.032387	0.135621	{:process 3, :type :ok, :f :write, :value 797379862643876093008845990982253001987473750572972988470680007407728667954212421819678848869501595553271692056439516602409561713468805986311956828680130206379645725416167252954935140160020984776449055792109812327543565756145999096798920002354000586354978689611480202305730151419246855714695745985436901947280124811384966662270916506900620663264514112790938239800492774752078640263534558371553713980588807872090543028077324696986264045744153120724721554925736472098792109742916389656050846405615684826090281832997822007669240901583102222535726528930896832822973213636001783436449730516818018551944746824389944019370971994750046410314944149762699608908493607260491197701670951012924763245182153484156525730833246634259769196534970624117412749322868946076749348322953895399223420436145930864928115507036170633888412007204896617389204831115605468780400082665603725238569221968756729027214776260785761883082077659554575964580771347445065263950105774262830019165809606142667670367906181384220701983528984973109009619079491594882}
0.150092	{:process 3, :type :invoke, :f :write, :value 027319502749634664084681993382386027098462638216735195414764193727746585968991684313866554976448112082501592670021537283692266270678148290459652735755234480220299304343301366751246782342674615747181733889657891662026285967433473547127003982351573101919652911575289900428955003335646503925174814826878865667111875448932661052634331339997628907761767923058413866200111174994963259943568302700522563973384970207311767729999062440837387797947670767649750676020025953925639598585269336394228440067551014963833569612253895832058713016434937205167304993498804695108743348388806757348817799189899895421250362959894677648576676765309647895010091689545315002670322497396807129207153786288666710969891783697517452942683449231339418508879523498882362636752805778829638602971750188561349529226101286048255643873620864718842574813439475039517089087651735104685148095511782482590375461183742258279950020389750807566674048485402409621751637637584173798538271713605873938811689028397370490563833332845638799911762709961917512045332015196007}
0.013955	0.164049	{:process 3, :type :ok, :f :write, :value 027319502749634664084681993382386027098462638216735195414764193727746585968991684313866554976448112082501592670021537283692266270678148290459652735755234480220299304343301366751246782342674615747181733889657891662026285967433473547127003982351573101919652911575289900428955003335646503925174814826878865667111875448932661052634331339997628907761767923058413866200111174994963259943568302700522563973384970207311767729999062440837387797947670767649750676020025953925639598585269336394228440067551014963833569612253895832058713016434937205167304993498804695108743348388806757348817799189899895421250362959894677648576676765309647895010091689545315002670322497396807129207153786288666710969891783697517452942683449231339418508879523498882362636752805778829638602971750188561349529226101286048255643873620864718842574813439475039517089087651735104685148095511782482590375461183742258279950020389750807566674048485402409621751637637584173798538271713605873938811689028397370490563833332845638799911762709961917512045332015196007}
0.183041	{:process 3, :type :invoke, :f :write, :value 616900411036344968289265643174335127388684348757877913470087430164923983317412391083342543208425919427769722153353807264584436149082770842267514894810291634560688877082200181562045266351907965975793123151430836575210500328037527831466529724482925177321155907813979542726364778288230345058831148222694342921861684841448442556508769414818016375871115970127099078239812633272970283071015935934977858132489998926225546159645254940773111003815649293028005720114313925237539025946441361854097748031766511645359106254652053947051129990276824944781246663968863197089106989385953098876282270789499320230370088319397035454545694648881010339170021947712389840426205638862971195310081411325368010773579978080611831184236793714083550757558719815923448247710138694961836610891314870694678601792388484255436889468440929911080530591916661549687541536627757000059172938204374029494057924626651788904024461185024441336790375746766168806135739104537139186971557385387001774604050863783571848776205025194764460468956415591378291993623001667606}
