0.000157	{:process 2, :type :invoke, :f :read, :value nil}
0.006385	0.006545	{:process 2, :type :ok, :f :read, :value 161738648114147473654479367079807980064887412151637186234932812700709209140377540450073596797170442383209457123180497768658567503832374411346664605691658615387783130784818406988460837698359327651821402554165221224996041975850142284731177692034645260579065271409195202293498854601858766486558767209428989797157432520179926994834899887076713456809948050652237637527525316753356440267542968631505379810687133709926790189972324852055033858348243012341248692098495909406350396609934250239438408010162917966838741188103267139150368751668243347655797035948873121998157101435193864577064171486895621333776207706173901310670250022378647490180708218669648994998327302143171173196974069958549393033469978105625534940855801751254722619541033789273480060167484066240114349817757225223451102608434466190003091943467932162343316772584516135229788473601956487284435018821463531590051266007945310011805163436715813131734628189401713321894585269792998350190131402956045614452332741578807030193500404997553008472751533337578049181700577097837}
0.008399	{:process 2, :type :invoke, :f :read, :value nil}
0.004161	0.012563	{:process 2, :type :ok, :f :read, :value 161738648114147473654479367079807980064887412151637186234932812700709209140377540450073596797170442383209457123180497768658567503832374411346664605691658615387783130784818406988460837698359327651821402554165221224996041975850142284731177692034645260579065271409195202293498854601858766486558767209428989797157432520179926994834899887076713456809948050652237637527525316753356440267542968631505379810687133709926790189972324852055033858348243012341248692098495909406350396609934250239438408010162917966838741188103267139150368751668243347655797035948873121998157101435193864577064171486895621333776207706173901310670250022378647490180708218669648994998327302143171173196974069958549393033469978105625534940855801751254722619541033789273480060167484066240114349817757225223451102608434466190003091943467932162343316772584516135229788473601956487284435018821463531590051266007945310011805163436715813131734628189401713321894585269792998350190131402956045614452332741578807030193500404997553008472751533337578049181700577097837}
0.014472	{:process 2, :type :invoke, :f :read, :value nil}
0.003824	0.018311	{:process 2, :type :ok, :f :read, :value 161738648114147473654479367079807980064887412151637186234932812700709209140377540450073596797170442383209457123180497768658567503832374411346664605691658615387783130784818406988460837698359327651821402554165221224996041975850142284731177692034645260579065271409195202293498854601858766486558767209428989797157432520179926994834899887076713456809948050652237637527525316753356440267542968631505379810687133709926790189972324852055033858348243012341248692098495909406350396609934250239438408010162917966838741188103267139150368751668243347655797035948873121998157101435193864577064171486895621333776207706173901310670250022378647490180708218669648994998327302143171173196974069958549393033469978105625534940855801751254722619541033789273480060167484066240114349817757225223451102608434466190003091943467932162343316772584516135229788473601956487284435018821463531590051266007945310011805163436715813131734628189401713321894585269792998350190131402956045614452332741578807030193500404997553008472751533337578049181700577097837}
0.01933	{:process 2, :type :invoke, :f :read, :value nil}
0.005387	0.02472	{:process 2, :type :ok, :f :read, :value 161738648114147473654479367079807980064887412151637186234932812700709209140377540450073596797170442383209457123180497768658567503832374411346664605691658615387783130784818406988460837698359327651821402554165221224996041975850142284731177692034645260579065271409195202293498854601858766486558767209428989797157432520179926994834899887076713456809948050652237637527525316753356440267542968631505379810687133709926790189972324852055033858348243012341248692098495909406350396609934250239438408010162917966838741188103267139150368751668243347655797035948873121998157101435193864577064171486895621333776207706173901310670250022378647490180708218669648994998327302143171173196974069958549393033469978105625534940855801751254722619541033789273480060167484066240114349817757225223451102608434466190003091943467932162343316772584516135229788473601956487284435018821463531590051266007945310011805163436715813131734628189401713321894585269792998350190131402956045614452332741578807030193500404997553008472751533337578049181700577097837}
0.0264	{:process 2, :type :invoke, :f :read, :value nil}
0.006262	0.032666	{:process 2, :type :ok, :f :read, :value 161738648114147473654479367079807980064887412151637186234932812700709209140377540450073596797170442383209457123180497768658567503832374411346664605691658615387783130784818406988460837698359327651821402554165221224996041975850142284731177692034645260579065271409195202293498854601858766486558767209428989797157432520179926994834899887076713456809948050652237637527525316753356440267542968631505379810687133709926790189972324852055033858348243012341248692098495909406350396609934250239438408010162917966838741188103267139150368751668243347655797035948873121998157101435193864577064171486895621333776207706173901310670250022378647490180708218669648994998327302143171173196974069958549393033469978105625534940855801751254722619541033789273480060167484066240114349817757225223451102608434466190003091943467932162343316772584516135229788473601956487284435018821463531590051266007945310011805163436715813131734628189401713321894585269792998350190131402956045614452332741578807030193500404997553008472751533337578049181700577097837}
0.033793	{:process 2, :type :invoke, :f :read, :value nil}
0.004839	0.038635	{:process 2, :type :ok, :f :read, :value 161738648114147473654479367079807980064887412151637186234932812700709209140377540450073596797170442383209457123180497768658567503832374411346664605691658615387783130784818406988460837698359327651821402554165221224996041975850142284731177692034645260579065271409195202293498854601858766486558767209428989797157432520179926994834899887076713456809948050652237637527525316753356440267542968631505379810687133709926790189972324852055033858348243012341248692098495909406350396609934250239438408010162917966838741188103267139150368751668243347655797035948873121998157101435193864577064171486895621333776207706173901310670250022378647490180708218669648994998327302143171173196974069958549393033469978105625534940855801751254722619541033789273480060167484066240114349817757225223451102608434466190003091943467932162343316772584516135229788473601956487284435018821463531590051266007945310011805163436715813131734628189401713321894585269792998350190131402956045614452332741578807030193500404997553008472751533337578049181700577097837}
0.039972	{:process 2, :type :invoke, :f :read, :value nil}
0.004088	0.044063	{:process 2, :type :ok, :f :read, :value 161738648114147473654479367079807980064887412151637186234932812700709209140377540450073596797170442383209457123180497768658567503832374411346664605691658615387783130784818406988460837698359327651821402554165221224996041975850142284731177692034645260579065271409195202293498854601858766486558767209428989797157432520179926994834899887076713456809948050652237637527525316753356440267542968631505379810687133709926790189972324852055033858348243012341248692098495909406350396609934250239438408010162917966838741188103267139150368751668243347655797035948873121998157101435193864577064171486895621333776207706173901310670250022378647490180708218669648994998327302143171173196974069958549393033469978105625534940855801751254722619541033789273480060167484066240114349817757225223451102608434466190003091943467932162343316772584516135229788473601956487284435018821463531590051266007945310011805163436715813131734628189401713321894585269792998350190131402956045614452332741578807030193500404997553008472751533337578049181700577097837}
0.046384	{:process 2, :type :invoke, :f :read, :value nil}
0.004236	0.050623	{:process 2, :type :ok, :f :read, :value 161738648114147473654479367079807980064887412151637186234932812700709209140377540450073596797170442383209457123180497768658567503832374411346664605691658615387783130784818406988460837698359327651821402554165221224996041975850142284731177692034645260579065271409195202293498854601858766486558767209428989797157432520179926994834899887076713456809948050652237637527525316753356440267542968631505379810687133709926790189972324852055033858348243012341248692098495909406350396609934250239438408010162917966838741188103267139150368751668243347655797035948873121998157101435193864577064171486895621333776207706173901310670250022378647490180708218669648994998327302143171173196974069958549393033469978105625534940855801751254722619541033789273480060167484066240114349817757225223451102608434466190003091943467932162343316772584516135229788473601956487284435018821463531590051266007945310011805163436715813131734628189401713321894585269792998350190131402956045614452332741578807030193500404997553008472751533337578049181700577097837}
0.052942	{:process 2, :type :invoke, :f :read, :value nil}
0.003169	0.056114	{:process 2, :type :ok, :f :read, :value 161738648114147473654479367079807980064887412151637186234932812700709209140377540450073596797170442383209457123180497768658567503832374411346664605691658615387783130784818406988460837698359327651821402554165221224996041975850142284731177692034645260579065271409195202293498854601858766486558767209428989797157432520179926994834899887076713456809948050652237637527525316753356440267542968631505379810687133709926790189972324852055033858348243012341248692098495909406350396609934250239438408010162917966838741188103267139150368751668243347655797035948873121998157101435193864577064171486895621333776207706173901310670250022378647490180708218669648994998327302143171173196974069958549393033469978105625534940855801751254722619541033789273480060167484066240114349817757225223451102608434466190003091943467932162343316772584516135229788473601956487284435018821463531590051266007945310011805163436715813131734628189401713321894585269792998350190131402956045614452332741578807030193500404997553008472751533337578049181700577097837}
0.059907	{:process 2, :type :invoke, :f :read, :value nil}
0.003562	0.063473	{:process 2, :type :ok, :f :read, :value 161738648114147473654479367079807980064887412151637186234932812700709209140377540450073596797170442383209457123180497768658567503832374411346664605691658615387783130784818406988460837698359327651821402554165221224996041975850142284731177692034645260579065271409195202293498854601858766486558767209428989797157432520179926994834899887076713456809948050652237637527525316753356440267542968631505379810687133709926790189972324852055033858348243012341248692098495909406350396609934250239438408010162917966838741188103267139150368751668243347655797035948873121998157101435193864577064171486895621333776207706173901310670250022378647490180708218669648994998327302143171173196974069958549393033469978105625534940855801751254722619541033789273480060167484066240114349817757225223451102608434466190003091943467932162343316772584516135229788473601956487284435018821463531590051266007945310011805163436715813131734628189401713321894585269792998350190131402956045614452332741578807030193500404997553008472751533337578049181700577097837}
