{:process 2, :type :invoke, :f :read, :value nil}
{:process 1, :type :invoke, :f :read, :value nil}
{:process 0, :type :invoke, :f :read, :value nil}
{:process 1, :type :ok, :f :read, :value 161738648114147473654479367079807980064887412151637186234932812700709209140377540450073596797170442383209457123180497768658567503832374411346664605691658615387783130784818406988460837698359327651821402554165221224996041975850142284731177692034645260579065271409195202293498854601858766486558767209428989797157432520179926994834899887076713456809948050652237637527525316753356440267542968631505379810687133709926790189972324852055033858348243012341248692098495909406350396609934250239438408010162917966838741188103267139150368751668243347655797035948873121998157101435193864577064171486895621333776207706173901310670250022378647490180708218669648994998327302143171173196974069958549393033469978105625534940855801751254722619541033789273480060167484066240114349817757225223451102608434466190003091943467932162343316772584516135229788473601956487284435018821463531590051266007945310011805163436715813131734628189401713321894585269792998350190131402956045614452332741578807030193500404997553008472751533337578049181700577097837}
{:process 0, :type :ok, :f :read, :value 161738648114147473654479367079807980064887412151637186234932812700709209140377540450073596797170442383209457123180497768658567503832374411346664605691658615387783130784818406988460837698359327651821402554165221224996041975850142284731177692034645260579065271409195202293498854601858766486558767209428989797157432520179926994834899887076713456809948050652237637527525316753356440267542968631505379810687133709926790189972324852055033858348243012341248692098495909406350396609934250239438408010162917966838741188103267139150368751668243347655797035948873121998157101435193864577064171486895621333776207706173901310670250022378647490180708218669648994998327302143171173196974069958549393033469978105625534940855801751254722619541033789273480060167484066240114349817757225223451102608434466190003091943467932162343316772584516135229788473601956487284435018821463531590051266007945310011805163436715813131734628189401713321894585269792998350190131402956045614452332741578807030193500404997553008472751533337578049181700577097837}
{:process 2, :type :ok, :f :read, :value 161738648114147473654479367079807980064887412151637186234932812700709209140377540450073596797170442383209457123180497768658567503832374411346664605691658615387783130784818406988460837698359327651821402554165221224996041975850142284731177692034645260579065271409195202293498854601858766486558767209428989797157432520179926994834899887076713456809948050652237637527525316753356440267542968631505379810687133709926790189972324852055033858348243012341248692098495909406350396609934250239438408010162917966838741188103267139150368751668243347655797035948873121998157101435193864577064171486895621333776207706173901310670250022378647490180708218669648994998327302143171173196974069958549393033469978105625534940855801751254722619541033789273480060167484066240114349817757225223451102608434466190003091943467932162343316772584516135229788473601956487284435018821463531590051266007945310011805163436715813131734628189401713321894585269792998350190131402956045614452332741578807030193500404997553008472751533337578049181700577097837}
{:process 1, :type :invoke, :f :read, :value nil}
{:process 0, :type :invoke, :f :read, :value nil}
{:process 2, :type :invoke, :f :read, :value nil}
{:process 1, :type :ok, :f :read, :value 161738648114147473654479367079807980064887412151637186234932812700709209140377540450073596797170442383209457123180497768658567503832374411346664605691658615387783130784818406988460837698359327651821402554165221224996041975850142284731177692034645260579065271409195202293498854601858766486558767209428989797157432520179926994834899887076713456809948050652237637527525316753356440267542968631505379810687133709926790189972324852055033858348243012341248692098495909406350396609934250239438408010162917966838741188103267139150368751668243347655797035948873121998157101435193864577064171486895621333776207706173901310670250022378647490180708218669648994998327302143171173196974069958549393033469978105625534940855801751254722619541033789273480060167484066240114349817757225223451102608434466190003091943467932162343316772584516135229788473601956487284435018821463531590051266007945310011805163436715813131734628189401713321894585269792998350190131402956045614452332741578807030193500404997553008472751533337578049181700577097837}
{:process 0, :type :ok, :f :read, :value 161738648114147473654479367079807980064887412151637186234932812700709209140377540450073596797170442383209457123180497768658567503832374411346664605691658615387783130784818406988460837698359327651821402554165221224996041975850142284731177692034645260579065271409195202293498854601858766486558767209428989797157432520179926994834899887076713456809948050652237637527525316753356440267542968631505379810687133709926790189972324852055033858348243012341248692098495909406350396609934250239438408010162917966838741188103267139150368751668243347655797035948873121998157101435193864577064171486895621333776207706173901310670250022378647490180708218669648994998327302143171173196974069958549393033469978105625534940855801751254722619541033789273480060167484066240114349817757225223451102608434466190003091943467932162343316772584516135229788473601956487284435018821463531590051266007945310011805163436715813131734628189401713321894585269792998350190131402956045614452332741578807030193500404997553008472751533337578049181700577097837}
{:process 2, :type :ok, :f :read, :value 161738648114147473654479367079807980064887412151637186234932812700709209140377540450073596797170442383209457123180497768658567503832374411346664605691658615387783130784818406988460837698359327651821402554165221224996041975850142284731177692034645260579065271409195202293498854601858766486558767209428989797157432520179926994834899887076713456809948050652237637527525316753356440267542968631505379810687133709926790189972324852055033858348243012341248692098495909406350396609934250239438408010162917966838741188103267139150368751668243347655797035948873121998157101435193864577064171486895621333776207706173901310670250022378647490180708218669648994998327302143171173196974069958549393033469978105625534940855801751254722619541033789273480060167484066240114349817757225223451102608434466190003091943467932162343316772584516135229788473601956487284435018821463531590051266007945310011805163436715813131734628189401713321894585269792998350190131402956045614452332741578807030193500404997553008472751533337578049181700577097837}
{:process 1, :type :invoke, :f :read, :value nil}
{:process 0, :type :invoke, :f :read, :value nil}
{:process 2, :type :invoke, :f :read, :value nil}
