{:process 4, :type :invoke, :f :write, :value 795822522331460917387379055786055569934169436527478107132822428296189518781333270212947429691630240224212345684817221086155338564808229455134737571690215940916498410677102785635814845539533492256515456724417998494960135476821675210804255164125821855512116283907909444173685389564037449199689581545152432271149865529638529699745480826165489567019285257128213763845674132298911051587411342818115892208447250668716669713097008788010877722988772540533032764832855855547045034418482787185569046742206922628179139337365823947612864656940959085920876450774738914591385392591005092859946319322772902462933056555752846500632932324582975590147835029691877380714194604353488363867056156084058697159587845804402129065663271030967917824326766209105683202338524236110574161083103663103436281624448415151252762040351896737809265239744181557771928200973875702525629059104091305135345722414689343468390999229764598282434194259597557546671769218239502113558600475141900277118242112525890962929635945094728542975329838046238313000509271058447}
{:process 0, :type :invoke, :f :read, :value nil}
{:process 3, :type :invoke, :f :write, :value 795822522331460917387379055786055569934169436527478107132822428296189518781333270212947429691630240224212345684817221086155338564808229455134737571690215940916498410677102785635814845539533492256515456724417998494960135476821675210804255164125821855512116283907909444173685389564037449199689581545152432271149865529638529699745480826165489567019285257128213763845674132298911051587411342818115892208447250668716669713097008788010877722988772540533032764832855855547045034418482787185569046742206922628179139337365823947612864656940959085920876450774738914591385392591005092859946319322772902462933056555752846500632932324582975590147835029691877380714194604353488363867056156084058697159587845804402129065663271030967917824326766209105683202338524236110574161083103663103436281624448415151252762040351896737809265239744181557771928200973875702525629059104091305135345722414689343468390999229764598282434194259597557546671769218239502113558600475141900277118242112525890962929635945094728542975329838046238313000509271058447}
{:process 2, :type :invoke, :f :write, :value 795822522331460917387379055786055569934169436527478107132822428296189518781333270212947429691630240224212345684817221086155338564808229455134737571690215940916498410677102785635814845539533492256515456724417998494960135476821675210804255164125821855512116283907909444173685389564037449199689581545152432271149865529638529699745480826165489567019285257128213763845674132298911051587411342818115892208447250668716669713097008788010877722988772540533032764832855855547045034418482787185569046742206922628179139337365823947612864656940959085920876450774738914591385392591005092859946319322772902462933056555752846500632932324582975590147835029691877380714194604353488363867056156084058697159587845804402129065663271030967917824326766209105683202338524236110574161083103663103436281624448415151252762040351896737809265239744181557771928200973875702525629059104091305135345722414689343468390999229764598282434194259597557546671769218239502113558600475141900277118242112525890962929635945094728542975329838046238313000509271058447}
{:process 1, :type :invoke, :f :write, :value 795822522331460917387379055786055569934169436527478107132822428296189518781333270212947429691630240224212345684817221086155338564808229455134737571690215940916498410677102785635814845539533492256515456724417998494960135476821675210804255164125821855512116283907909444173685389564037449199689581545152432271149865529638529699745480826165489567019285257128213763845674132298911051587411342818115892208447250668716669713097008788010877722988772540533032764832855855547045034418482787185569046742206922628179139337365823947612864656940959085920876450774738914591385392591005092859946319322772902462933056555752846500632932324582975590147835029691877380714194604353488363867056156084058697159587845804402129065663271030967917824326766209105683202338524236110574161083103663103436281624448415151252762040351896737809265239744181557771928200973875702525629059104091305135345722414689343468390999229764598282434194259597557546671769218239502113558600475141900277118242112525890962929635945094728542975329838046238313000509271058447}
{:process 4, :type :ok, :f :write, :value 795822522331460917387379055786055569934169436527478107132822428296189518781333270212947429691630240224212345684817221086155338564808229455134737571690215940916498410677102785635814845539533492256515456724417998494960135476821675210804255164125821855512116283907909444173685389564037449199689581545152432271149865529638529699745480826165489567019285257128213763845674132298911051587411342818115892208447250668716669713097008788010877722988772540533032764832855855547045034418482787185569046742206922628179139337365823947612864656940959085920876450774738914591385392591005092859946319322772902462933056555752846500632932324582975590147835029691877380714194604353488363867056156084058697159587845804402129065663271030967917824326766209105683202338524236110574161083103663103436281624448415151252762040351896737809265239744181557771928200973875702525629059104091305135345722414689343468390999229764598282434194259597557546671769218239502113558600475141900277118242112525890962929635945094728542975329838046238313000509271058447}
{:process 0, :type :ok, :f :read, :value 062001952339083419082471193983789991309562482044164613944235725836067925385609026689993338012695212126864327549109218761774936457890478110884916037823190805461152319122300711516298639839476703944077319501962584669752719581875275926108294465043928399269646166880610531190824216257493359298076049312623635159774715073092811637568953416043942516233554935318087192645460774945560046451983093725909447634048726820496506005479989055718123197779038899491259367382856988419119012111273390439487885475417420351584921471426386364032573418443721115552616474003406875247083585896343525282604156735379298546327974538077457874660119139115940857202329065964640864997800616892524077195884268566965867928728902609318008647593101798602575395557608420297148579660630989630105067820161085834711786996159189987689895993608370670269896914802580692183573503760708808491091241520731208660938138918789888134586579890878081894898688596501979558530747546635314305174936124289154128095658201833541946878298325939048526566672028322901941093589585359106}
{:process 1, :type :ok, :f :write, :value 795822522331460917387379055786055569934169436527478107132822428296189518781333270212947429691630240224212345684817221086155338564808229455134737571690215940916498410677102785635814845539533492256515456724417998494960135476821675210804255164125821855512116283907909444173685389564037449199689581545152432271149865529638529699745480826165489567019285257128213763845674132298911051587411342818115892208447250668716669713097008788010877722988772540533032764832855855547045034418482787185569046742206922628179139337365823947612864656940959085920876450774738914591385392591005092859946319322772902462933056555752846500632932324582975590147835029691877380714194604353488363867056156084058697159587845804402129065663271030967917824326766209105683202338524236110574161083103663103436281624448415151252762040351896737809265239744181557771928200973875702525629059104091305135345722414689343468390999229764598282434194259597557546671769218239502113558600475141900277118242112525890962929635945094728542975329838046238313000509271058447}
{:process 2, :type :ok, :f :write, :value 795822522331460917387379055786055569934169436527478107132822428296189518781333270212947429691630240224212345684817221086155338564808229455134737571690215940916498410677102785635814845539533492256515456724417998494960135476821675210804255164125821855512116283907909444173685389564037449199689581545152432271149865529638529699745480826165489567019285257128213763845674132298911051587411342818115892208447250668716669713097008788010877722988772540533032764832855855547045034418482787185569046742206922628179139337365823947612864656940959085920876450774738914591385392591005092859946319322772902462933056555752846500632932324582975590147835029691877380714194604353488363867056156084058697159587845804402129065663271030967917824326766209105683202338524236110574161083103663103436281624448415151252762040351896737809265239744181557771928200973875702525629059104091305135345722414689343468390999229764598282434194259597557546671769218239502113558600475141900277118242112525890962929635945094728542975329838046238313000509271058447}
{:process 3, :type :ok, :f :write, :value 795822522331460917387379055786055569934169436527478107132822428296189518781333270212947429691630240224212345684817221086155338564808229455134737571690215940916498410677102785635814845539533492256515456724417998494960135476821675210804255164125821855512116283907909444173685389564037449199689581545152432271149865529638529699745480826165489567019285257128213763845674132298911051587411342818115892208447250668716669713097008788010877722988772540533032764832855855547045034418482787185569046742206922628179139337365823947612864656940959085920876450774738914591385392591005092859946319322772902462933056555752846500632932324582975590147835029691877380714194604353488363867056156084058697159587845804402129065663271030967917824326766209105683202338524236110574161083103663103436281624448415151252762040351896737809265239744181557771928200973875702525629059104091305135345722414689343468390999229764598282434194259597557546671769218239502113558600475141900277118242112525890962929635945094728542975329838046238313000509271058447}
{:process 4, :type :invoke, :f :write, :value 500924110382743025211213548942812014447576760264708049305111523724490160956175665692524265419714373301326235793452627055816989338689921766236893068985486386219307291579112992520318069697438368200677518000272423221102046974927986657750777910464695009619301221806672861575723204904897748062162042228586070512002613487415622026269129948122322583144887649874692726811745977357962562229326795288871166675520318765909842433053040158947590721610310496860165589797811560555916169319097033501792475731987490309242341066538800367852253112365219465893666759707403920253690131207988265130002972267404863809129049965471693090238100687189093117004863125426779501669587408722542121653108777947006074914018283617773393162056967584978691411982759080517734332280900989223321718619962658201531523731754288379352440725557800174577664284011167511504271051280939605323756983844916563680908292184716003712296819465733946767185578279560982763729294801687397976916062183551824975676736667474075674102457552151738303969827356833446601689096189139447}
{:process 0, :type :invoke, :f :read, :value nil}
{:process 1, :type :invoke, :f :write, :value 500924110382743025211213548942812014447576760264708049305111523724490160956175665692524265419714373301326235793452627055816989338689921766236893068985486386219307291579112992520318069697438368200677518000272423221102046974927986657750777910464695009619301221806672861575723204904897748062162042228586070512002613487415622026269129948122322583144887649874692726811745977357962562229326795288871166675520318765909842433053040158947590721610310496860165589797811560555916169319097033501792475731987490309242341066538800367852253112365219465893666759707403920253690131207988265130002972267404863809129049965471693090238100687189093117004863125426779501669587408722542121653108777947006074914018283617773393162056967584978691411982759080517734332280900989223321718619962658201531523731754288379352440725557800174577664284011167511504271051280939605323756983844916563680908292184716003712296819465733946767185578279560982763729294801687397976916062183551824975676736667474075674102457552151738303969827356833446601689096189139447}
{:process 2, :type :invoke, :f :write, :value 500924110382743025211213548942812014447576760264708049305111523724490160956175665692524265419714373301326235793452627055816989338689921766236893068985486386219307291579112992520318069697438368200677518000272423221102046974927986657750777910464695009619301221806672861575723204904897748062162042228586070512002613487415622026269129948122322583144887649874692726811745977357962562229326795288871166675520318765909842433053040158947590721610310496860165589797811560555916169319097033501792475731987490309242341066538800367852253112365219465893666759707403920253690131207988265130002972267404863809129049965471693090238100687189093117004863125426779501669587408722542121653108777947006074914018283617773393162056967584978691411982759080517734332280900989223321718619962658201531523731754288379352440725557800174577664284011167511504271051280939605323756983844916563680908292184716003712296819465733946767185578279560982763729294801687397976916062183551824975676736667474075674102457552151738303969827356833446601689096189139447}
{:process 3, :type :invoke, :f :write, :value 500924110382743025211213548942812014447576760264708049305111523724490160956175665692524265419714373301326235793452627055816989338689921766236893068985486386219307291579112992520318069697438368200677518000272423221102046974927986657750777910464695009619301221806672861575723204904897748062162042228586070512002613487415622026269129948122322583144887649874692726811745977357962562229326795288871166675520318765909842433053040158947590721610310496860165589797811560555916169319097033501792475731987490309242341066538800367852253112365219465893666759707403920253690131207988265130002972267404863809129049965471693090238100687189093117004863125426779501669587408722542121653108777947006074914018283617773393162056967584978691411982759080517734332280900989223321718619962658201531523731754288379352440725557800174577664284011167511504271051280939605323756983844916563680908292184716003712296819465733946767185578279560982763729294801687397976916062183551824975676736667474075674102457552151738303969827356833446601689096189139447}
{:process 4, :type :ok, :f :write, :value 500924110382743025211213548942812014447576760264708049305111523724490160956175665692524265419714373301326235793452627055816989338689921766236893068985486386219307291579112992520318069697438368200677518000272423221102046974927986657750777910464695009619301221806672861575723204904897748062162042228586070512002613487415622026269129948122322583144887649874692726811745977357962562229326795288871166675520318765909842433053040158947590721610310496860165589797811560555916169319097033501792475731987490309242341066538800367852253112365219465893666759707403920253690131207988265130002972267404863809129049965471693090238100687189093117004863125426779501669587408722542121653108777947006074914018283617773393162056967584978691411982759080517734332280900989223321718619962658201531523731754288379352440725557800174577664284011167511504271051280939605323756983844916563680908292184716003712296819465733946767185578279560982763729294801687397976916062183551824975676736667474075674102457552151738303969827356833446601689096189139447}
