0.000244	{:process 4, :type :invoke, :f :write, :value 768271352170796251926468232342810759086315505222534103148572786973074725288922176808112172660269788151901793910790523030297435513341431520043014296692833797440074148410426048499370555854798795421263435351190227295780379151695034399024155298119607635862153858287302719559572455440947372657607537730986835272716822559935615578263251054584055650925011594241380635833411818494408110489916246209005358639690253194132243099730630387141212558867272629020193187417332675920907646018131140560422157524039329204007920254402544762616241193333935629665015362950333159290523037691558271029224479994913997390259336354458592150059560079821846801659206178393390446754856933833908820558399848995762147060544856848116165041050538765461717112728759567282489662539287551484676563621449800976241381236376055824218374575764308636881610317020443290747413864639417771724636890120116850438011954944018493183397518215450251678062665524852392065006744779836654822395890231458988855232315202684945645660035025021564707427708314978664687382906263855509}
0.010597	0.010844	{:process 4, :type :ok, :f :write, :value 768271352170796251926468232342810759086315505222534103148572786973074725288922176808112172660269788151901793910790523030297435513341431520043014296692833797440074148410426048499370555854798795421263435351190227295780379151695034399024155298119607635862153858287302719559572455440947372657607537730986835272716822559935615578263251054584055650925011594241380635833411818494408110489916246209005358639690253194132243099730630387141212558867272629020193187417332675920907646018131140560422157524039329204007920254402544762616241193333935629665015362950333159290523037691558271029224479994913997390259336354458592150059560079821846801659206178393390446754856933833908820558399848995762147060544856848116165041050538765461717112728759567282489662539287551484676563621449800976241381236376055824218374575764308636881610317020443290747413864639417771724636890120116850438011954944018493183397518215450251678062665524852392065006744779836654822395890231458988855232315202684945645660035025021564707427708314978664687382906263855509}
0.014845	{:process 4, :type :invoke, :f :write, :value 260804249238815591282544391589217417933067060710838204756004925677582108804877072193588199803392242572552261980490778589680029265713970418509648837818876098147818327668441527421302101803837520652319485537299331742144438300367729667310250315589914559309538310496359374515086277825985851884845670530001511158132620128418813680655856939264079533775538422702987773388214832787264718872242460139688409902373099782580906364507565337247676997068318521157617566319255014833630683436573556222855980404087462421994763118741248766026437173338629105639525849647340105814467431563228191677841577707210677532988202142409183362233086043926116158682825943391715233869151994720688081587136209933231276567060020029307010852057591638496212436431591494601906658911752695058724873124584894781574870331857721308832203794362510919144539422574558870369705078280126799633080755755781763482323555324389817984650128516866318683317746659547122146218814745523156841626572414820541353949692129734016896037729996143637718921116527126750624833467742623437}
0.004661	0.019508	{:process 4, :type :ok, :f :write, :value 260804249238815591282544391589217417933067060710838204756004925677582108804877072193588199803392242572552261980490778589680029265713970418509648837818876098147818327668441527421302101803837520652319485537299331742144438300367729667310250315589914559309538310496359374515086277825985851884845670530001511158132620128418813680655856939264079533775538422702987773388214832787264718872242460139688409902373099782580906364507565337247676997068318521157617566319255014833630683436573556222855980404087462421994763118741248766026437173338629105639525849647340105814467431563228191677841577707210677532988202142409183362233086043926116158682825943391715233869151994720688081587136209933231276567060020029307010852057591638496212436431591494601906658911752695058724873124584894781574870331857721308832203794362510919144539422574558870369705078280126799633080755755781763482323555324389817984650128516866318683317746659547122146218814745523156841626572414820541353949692129734016896037729996143637718921116527126750624833467742623437}
0.022475	{:process 4, :type :invoke, :f :write, :value 867344588334841892183085200181889723194139834935343762484724803787316931816220956345793167868138089674067809807751222558534360360450978850040717039307350007255400417293319502317467115437153823166817369439682530344087715227735338194230328871828248242964849392221845809788061015151348924853098404984072801104719865857254866606216736116438822928416151859431264857661414318710773311796850078673449782134107386737026613830690954124358960800594296179482742769372929726008079400339277562958087489471274281143376226092288208958096215835160599313112652493408317950435261232373707164404776507412677196439678169875518905575536993725368447363263716527086750341934680435263789071933853438485698059202940210447532010673621103228160564708742617140107489701045972920610487840554564225407721330554715973659707375098550232368333706213788670507106152377723578860401971768731443379708483950749909029495298535984055095380676769691530271337045441162623700577436511858101805671780152442719664437535355536293683620064256314957901448911753233615614}
0.008255	0.030733	{:process 4, :type :ok, :f :write, :value 867344588334841892183085200181889723194139834935343762484724803787316931816220956345793167868138089674067809807751222558534360360450978850040717039307350007255400417293319502317467115437153823166817369439682530344087715227735338194230328871828248242964849392221845809788061015151348924853098404984072801104719865857254866606216736116438822928416151859431264857661414318710773311796850078673449782134107386737026613830690954124358960800594296179482742769372929726008079400339277562958087489471274281143376226092288208958096215835160599313112652493408317950435261232373707164404776507412677196439678169875518905575536993725368447363263716527086750341934680435263789071933853438485698059202940210447532010673621103228160564708742617140107489701045972920610487840554564225407721330554715973659707375098550232368333706213788670507106152377723578860401971768731443379708483950749909029495298535984055095380676769691530271337045441162623700577436511858101805671780152442719664437535355536293683620064256314957901448911753233615614}
0.033793	{:process 4, :type :invoke, :f :write, :value 408739735684486787837457027173333328391879240818893560485294557089810997133326326894964486851579653664598142776565971411018385442721472207686234751114417365001503643083743667052483036084706956430940534890726184689407888575339635680180364192662703711760213378846175103722900371842110161791505212942416826954060472698989039770186647231929345502763771787874195759792886730292788088476153764261231639315556824834691427095441886960013778371076465607328094474061282561418518164826759778215823963421583434460862459327360054361903063328066062507461398405851964472724722358500446808840347644203407072217289553335311366342772214124365215160713256482017406847361790421939000555496819752336382452696711834189840433608843492739101992005615590763025021460856788897027580362338862564722700588360192060396522320786159549529656685893843797120198925871033991759430834123837068860560965484551726701434919746724000099557114206076131735929793193314280993433232176261753622034575014215779014423250325618913562084607276197740187129682693242472033}
0.010158	0.043953	{:process 4, :type :ok, :f :write, :value 408739735684486787837457027173333328391879240818893560485294557089810997133326326894964486851579653664598142776565971411018385442721472207686234751114417365001503643083743667052483036084706956430940534890726184689407888575339635680180364192662703711760213378846175103722900371842110161791505212942416826954060472698989039770186647231929345502763771787874195759792886730292788088476153764261231639315556824834691427095441886960013778371076465607328094474061282561418518164826759778215823963421583434460862459327360054361903063328066062507461398405851964472724722358500446808840347644203407072217289553335311366342772214124365215160713256482017406847361790421939000555496819752336382452696711834189840433608843492739101992005615590763025021460856788897027580362338862564722700588360192060396522320786159549529656685893843797120198925871033991759430834123837068860560965484551726701434919746724000099557114206076131735929793193314280993433232176261753622034575014215779014423250325618913562084607276197740187129682693242472033}
0.047559	{:process 4, :type :invoke, :f :write, :value 954529204613517174038874505328133685527218761480804911563005839399874715583943944557813115929858967558218622919574455879363460578254177159450529175774822178327242870795652827036523907334178015314585262564468030543476105918669119657924362386650908718321397520486498857085663953936780139881152793798499285593086676681870187576945796616465763541329428448395900681564120998444796949905846557527895228417484853569660144791675374907940690296864720956558715254964851832983760152458025896541039614918108594731978971482336459622014056826491808627987213088240444879573344424408327168466480737136283539191554498324180021216929740313225600269093403608759362548572014576692711154646431498842891092752311683910304048107103392693168321602195235850882703052423832884044465908505794984211655230448043481991043532133774969485529325885194411894209587975113687741229960302481111089788492770664709695925196209507707568745823403382877686428380052829603405747106505264008858165368240780566296047675298003911647472462610349166825644474985142099457}
0.007806	0.055368	{:process 4, :type :ok, :f :write, :value 954529204613517174038874505328133685527218761480804911563005839399874715583943944557813115929858967558218622919574455879363460578254177159450529175774822178327242870795652827036523907334178015314585262564468030543476105918669119657924362386650908718321397520486498857085663953936780139881152793798499285593086676681870187576945796616465763541329428448395900681564120998444796949905846557527895228417484853569660144791675374907940690296864720956558715254964851832983760152458025896541039614918108594731978971482336459622014056826491808627987213088240444879573344424408327168466480737136283539191554498324180021216929740313225600269093403608759362548572014576692711154646431498842891092752311683910304048107103392693168321602195235850882703052423832884044465908505794984211655230448043481991043532133774969485529325885194411894209587975113687741229960302481111089788492770664709695925196209507707568745823403382877686428380052829603405747106505264008858165368240780566296047675298003911647472462610349166825644474985142099457}
0.059089	{:process 4, :type :invoke, :f :write, :value 681972974948646355744866787005365475964579333178865241131054780340036404337866944490703020408735730571134111707466458061221116889848953667967826563389614745526620547026714796364623886480934708772774577149795377878416631201100390847751642499187140713136446505781678944183013958049554109779449706592122726041845991413500676748329851225839935755818160327994746643776271476941642470502493880646033851910516772149211650260424047624936199788192033101327369966648234043933044468878922678766341476893316611059057861029027972011810143824152057964388212900323607723026733950878409540752994354248570365851950900854029240698114961227704010012017621845016847356698670274205626590995498104051631698927367830601992463493890984043037864769959041407846347455862185164762659783825729365301889017826492677675170752808430728642524166555532240217707763837691064502359822157390080966241920137709134139364295314512438550885775680216172792343906362117317984664796505706131743371502436126593282834524149415744824368102773093496149785926422124553583}
